Date,iShares MSCI UK ETF,FTSE All-Share Index,FTSE 250 Index,FTSE 100 Index,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_YoY,Is_Holiday
2010-12-01,0.026608872190374555,0.020205346657389933,0.018995456523506205,0.020657380993640784,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-02,0.01808317656226377,0.02225433465588056,0.024747208869532633,0.022171040789765284,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-03,0.011249414393906365,-0.0032368021798246938,0.000487540690472299,-0.0038664769732928983,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-06,0.0011708848071549927,0.004659266849329935,0.006244265046012165,0.004351383017402011,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-07,0.005263176129616243,0.00738801889275531,0.013271875712078662,0.006620140478917236,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-08,0.004653771937400464,-0.00295611042881605,-0.007141989178421904,-0.002410260824653565,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-09,0.0011582050132852295,0.0025317822896586684,0.003984436212242981,0.002329795495728648,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-10,0.005783620164464542,0.001003535495301966,0.0015625484990882121,0.0008608815426998095,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-13,0.007475731453232992,0.007947213624674765,0.006976349198874132,0.008222914964304051,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-14,-0.0011415783977323235,0.005078456769878059,0.004410293274788479,0.0051870720103228685,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-15,-0.016000164094034597,-0.0017792787189193637,-0.0032428263977777316,-0.0015277022850388455,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-16,0.005807131353206874,-0.00036769396577973623,-0.003851277208752668,-0.00018702145791071878,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-17,-0.005196424044138115,-0.00034810689816067164,0.00863269526767585,-0.0015813866137827093,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-20,0.0,0.0029499140176494354,0.0005513183739260796,0.0033720994630885848,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-21,0.006566094957468405,0.009583611208400677,0.00643750062993842,0.010217887506519308,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-22,0.0034943250750150145,0.005158382631171854,0.0037804061339601347,0.0053261528197796615,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-23,0.0011608192175753818,0.0020688547645830724,0.0016449931324749034,0.0021058072459680943,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-24,0.0,0.0009695010187662501,-0.006595080333938297,0.002134688293896847,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-27,-0.0057969663682744255,0.0,0.0,0.0,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,True
2010-12-28,-0.001166334486825904,0.0,0.0,0.0,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,True
2010-12-29,0.00817276710413406,-9.654981703455245e-05,0.011833392388133745,-0.00208024766648629,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
2010-12-30,-0.004053157334245938,-0.004183548475320209,-0.005116562873646036,-0.00423585864141951,91.7,92.891,408599.0,0.03149606299212593,-0.04854362368743392,0.005962917644278143,False
