Date,EWU,^FTAS,^FTMC,^FTSE,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_QoQ,UK_GDP_YoY,Is_Holiday
2011-04-01,0.013400370180867816,0.016005351829807335,0.010067304633583518,0.01711009020411325,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-04,0.007162766843004764,0.001706805980886239,0.004944990741643451,0.0011814003180787847,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-05,0.007111449002560777,-0.0017680187383399826,-0.002456054852030043,-0.001645321978352987,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-06,0.008147461672315615,0.005454609831520685,0.003723062830481183,0.0056599689446270585,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-07,-0.004849081741743366,-0.006101509674689032,-0.010355305477698695,-0.005578486495460444,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-08,0.0037900100200176645,0.007615955841769884,0.005729265866983413,0.008056713907936608,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-11,0.00215731692860599,-0.0006754995841822264,-0.003112687775413403,-0.00039629816393405015,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-12,-0.01883711837639901,-0.014313954287674235,-0.012669322862265298,-0.014685945712810011,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-13,0.003839621085467204,0.0074081258213294365,0.006428935141037817,0.007695515524142937,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-14,0.0027324598813125434,-0.006676055604841746,-0.001084695809746572,-0.0077532441124389395,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
