Date,EWU,^FTAS,^FTMC,^FTSE
2010-12-01,0.026608872190374555,0.020205346657389933,0.018995456523506205,0.020657380993640784
2010-12-02,0.018083281595641765,0.02225433465588056,0.024747208869532633,0.022171040789765284
2010-12-03,0.01124920689779696,-0.0032368021798246938,0.000487540690472299,-0.0038664769732928983
2010-12-06,0.00117119098697116,0.004659266849329935,0.006244265046012165,0.004351383017402011
2010-12-07,0.005262869354646149,0.00738801889275531,0.013271875712078662,0.006620140478917236
2010-12-08,0.004653873776433448,-0.00295611042881605,-0.007141989178421904,-0.002410260824653565
2010-12-09,0.0011581041155577232,0.0025317822896586684,0.003984436212242981,0.002329795495728648
2010-12-10,0.005783519966330974,0.001003535495301966,0.0015625484990882121,0.0008608815426998095
2010-12-13,0.007475732951391922,0.007947213624674765,0.006976349198874132,0.008222914964304051
2010-12-14,-0.0011414791668366009,0.005078456769878059,0.004410293274788479,0.0051870720103228685
2010-12-15,-0.016000165687197088,-0.0017792787189193637,-0.0032428263977777316,-0.0015277022850388455
2010-12-16,0.005807435512937165,-0.00036769396577973623,-0.003851277208752668,-0.00018702145791071878
2010-12-17,-0.005196523604986125,-0.00034810689816067164,0.00863269526767585,-0.0015813866137827093
2010-12-20,0.0,0.0029499140176494354,0.0005513183739260796,0.0033720994630885848
2010-12-21,0.006565790897515855,0.009583611208400677,0.00643750062993842,0.010217887506519308
2010-12-22,0.003494426249470939,0.005158382631171854,0.0037804061339601347,0.0053261528197796615
2010-12-23,0.0011609194562192116,0.0020688547645830724,0.0016449931324749034,0.0021058072459680943
2010-12-24,0.0,0.0009695010187662501,-0.006595080333938297,0.002134688293896847
2010-12-27,-0.0057970663745948725,0.0,0.0,0.0
2010-12-28,-0.0011663346041468348,0.0,0.0,0.0
2010-12-29,0.008173070047894138,-9.654981703455245e-05,0.011833392388133745,-0.00208024766648629
2010-12-30,-0.004053156524502222,-0.004183548475320209,-0.005116562873646036,-0.00423585864141951
2010-12-31,0.009883869101570575,-0.010198976654521963,-0.0009162606167636422,-0.01190756952876404
2011-01-03,-0.0028789545029249686,0.0,0.0,0.0
2011-01-04,0.010392686414118835,0.018332566254782412,0.014171004555427302,0.019322361715783165
2011-01-05,-0.002285720031383165,0.00450466458099541,0.00162080090023764,0.004988443520369978
2011-01-06,-0.008591062236318225,-0.003804652281275689,-0.0021035650653833393,-0.004037112251691677
2011-01-07,-0.004043890518269144,-0.00541467448593369,-0.0036272391659150083,-0.005847694212559151
2011-01-10,0.001740218612524158,-0.005083395687871084,-0.008488708851983717,-0.0046789099667211564
2011-01-11,0.006948182707297912,0.010273755757871594,0.013822536150226217,0.009687255041643583
2011-01-12,0.020126737497000446,0.005550983833893186,0.0025563897385916245,0.006102460145078092
2011-01-13,-0.005073414856882619,-0.0037163066484063867,0.000144509306241547,-0.004429287868123466
2011-01-14,0.007365482785708144,-0.0033494901878331484,-0.002090559137843173,-0.0036188856124614865
2011-01-17,0.0,-0.0022726282459792913,-7.667858317272902e-05,-0.002732360686579338
2011-01-18,0.011810981221247241,0.011044682990829946,0.007562901221096041,0.011811434706772594
2011-01-19,-0.01222871245106838,-0.01234321604776567,-0.008630348432467017,-0.013159584623929299
2011-01-20,-0.019133366424611054,-0.01798747892755992,-0.01903106969488022,-0.018204074056463737
2011-01-21,0.0068845984525292,0.004419281726746993,0.0024076658246414695,0.0048398750517892886
2011-01-24,0.010826113761629452,0.0073199842963764805,0.003529112404139445,0.00807287608042051
2011-01-25,-0.012965155815547136,-0.004588344190256,-0.006203948608583754,-0.0044078311313618945
2011-01-26,0.010851142793610657,0.008681513525069295,0.00962476516938282,0.008702705155761992
2011-01-27,0.0011297025415528683,-0.0005457797396342112,0.00043923994585814974,-0.0006868755481630462
2011-01-28,-0.023702142581631613,-0.01277350236867747,-0.0061459869010470625,-0.014031649753100783
2011-01-31,0.015029291957300961,-0.003564426377474339,-0.00645245106530401,-0.003145509624779552
2011-02-01,0.025056711964522416,0.015343566975932088,0.01194264045678417,0.016186512463876923
2011-02-02,0.00611119880415445,0.005991633607552949,-0.0001550419681698445,0.007099985624805516
2011-02-03,0.0,-0.002723901174827126,-0.002662289031768017,-0.0028000021158500754
2011-02-04,-0.0011041268491338574,0.0030183078502379335,0.007835328603019942,0.0023565754878609457
2011-02-07,0.007738861487520232,0.009378298870257318,0.012394429295418563,0.008937222551276491
2011-02-08,0.008227908173486398,0.005914785470632955,0.001642555838712978,0.006660023911337021
2011-02-09,-0.004352475320752558,-0.005921210293992618,-0.0028655078504712383,-0.006402574368443936
2011-02-10,-0.004371407907825198,-0.0054531788954207405,-0.006357764312047709,-0.005336782005161744
2011-02-11,0.0016464280398558184,0.006911496161305042,0.0065008358800751065,0.007126229625207703
2011-02-14,0.001644099876349836,6.0493704733044495e-05,0.003059942237972013,-0.00046179299223092496
2011-02-15,-0.0021882833413580105,-0.004147489484516154,-0.007115168501773517,-0.0037953168478017663
2011-02-16,0.007127044996399379,0.007406465940050344,0.004902219496458304,0.007983917154191777
2011-02-17,0.005988109988522394,0.0005516370858020814,0.0017362140657986025,0.00034510997381476116
2011-02-18,0.002705471162442352,-0.0005924875915275241,4.227328905259675e-05,-0.0007227884506250115
2011-02-21,0.0,-0.010684567473791318,-0.008504993197342992,-0.011211605344813469
2011-02-22,-0.02806276939702823,-0.0035283970356989602,-0.006420679539335117,-0.002992618305595496
2011-02-23,-0.0016656262688677925,-0.01193799244523086,-0.011199409188255682,-0.012223153527687214
2011-02-24,-0.0033370023088448164,-0.001936662836941272,-0.009737993864605277,-0.0005908668861315247
2011-02-25,0.016741260954732384,0.014007001948382891,0.017467575946419567,0.013716249208192588
2011-02-28,0.007683835824168428,-0.0008651359931278746,0.001059505959815743,-0.0011997925545166321
2011-03-01,-0.021241860464242257,-0.00866553101437284,-0.004061524623386936,-0.00970974229437771
2011-03-02,0.008347242844757519,-0.0034483914945013794,-0.0026524066481278252,-0.003520991783996008
2011-03-03,0.01655638155146333,0.014232441116658778,0.009442624903535757,0.015249657103539205
2011-03-04,-0.005428848296904487,-0.0011115554788304616,0.0060588039380968794,-0.002447951753250077
2011-03-07,-0.010917151461163344,-0.0020712135318446956,0.0021240630064829347,-0.002771116774650584
2011-03-08,0.002207796807291551,9.984931330198066e-05,-0.00037456826144965927,0.00016739764181838979
2011-03-09,-0.001101656579151622,-0.005513743841666918,-0.0011325247743432243,-0.006276360920173363
2011-03-10,-0.028114713478303965,-0.01575820203542022,-0.01829470787917642,-0.015495259297394037
2011-03-11,0.002836204748052351,-0.0036708828099397683,-0.009213554914554556,-0.0028398217250872326
2011-03-14,-0.0016969100644496082,-0.00868405327458499,-0.005241229211402798,-0.009178718789315199
2011-03-15,-0.01926335984593064,-0.014556834905674165,-0.01748944875935854,-0.013835085871110042
2011-03-16,-0.03235132346549763,-0.015820511151903638,-0.010590840794620915,-0.01704907778429543
2011-03-17,0.028656584957605036,0.017315530559785186,0.018426443016725136,0.017487745869775084
2011-03-18,0.012768712304534802,0.004642045571708442,0.009736161961065193,0.003862291677256824
2011-03-21,0.0177649628720995,0.012136670610554345,0.014578116437121036,0.011892061845484747
2011-03-22,-0.0016891691716038881,-0.0041565222949589975,-0.006046336155793974,-0.004044157886799904
2011-03-23,0.0016920272919429546,0.005178138302478041,0.0005069904076391296,0.005761137297799257
2011-03-24,0.009008837492212152,0.014282689324785602,0.013810961788711218,0.014665539680150053
2011-03-25,-0.006696350354282732,0.0032921517422614954,0.0020507349694109944,0.0033838192579709325
2011-03-28,-0.0016850826908755279,0.0007795254522346973,0.0006965669536040942,0.0006270667426406806
2011-03-29,0.005064654680738023,0.003865468426358376,-8.592984398869685e-05,0.004691370194343403
2011-03-30,0.008958491238891808,0.002850584749153562,0.0034374891424522325,0.002713935613252172
2011-03-31,-0.0061044152254541295,-0.006840752322306187,-0.007228288496578528,-0.006640552981016956
2011-04-01,0.013400176248149043,0.016005351829807335,0.010067304633583518,0.01711009020411325
2011-04-04,0.0071628625711464,0.001706805980886239,0.004944990741643451,0.0011814003180787847
2011-04-05,0.007111354631190059,-0.0017680187383399826,-0.002456054852030043,-0.001645321978352987
2011-04-06,0.00814764984577554,0.005454609831520685,0.003723062830481183,0.0056599689446270585
2011-04-07,-0.0048491742387282155,-0.006101509674689032,-0.010355305477698695,-0.005578486495460444
2011-04-08,0.0037902902218525103,0.007615955841769884,0.005729265866983413,0.008056713907936608
2011-04-11,0.0021575024222704187,-0.0006754995841822264,-0.003112687775413403,-0.00039629816393405015
2011-04-12,-0.018837573869561752,-0.014313954287674235,-0.012669322862265298,-0.014685945712810011
2011-04-13,0.003839621085467204,0.0074081258213294365,0.006428935141037817,0.007695515524142937
2011-04-14,0.002732177076522513,-0.006676055604841746,-0.001084695809746572,-0.0077532441124389395
2011-04-15,0.0005451721522793385,0.005485987681408844,0.00654991715395048,0.005399275020464556
2011-04-18,-0.017974019257703255,-0.02015881110746809,-0.016131275042328252,-0.02099731526746995
2011-04-19,0.004437252715205231,0.004820166995514796,0.007284105261180951,0.0045654766088572
2011-04-20,0.02540015667913398,0.02026262961268066,0.01569831917685427,0.021265394431048357
2011-04-21,0.00807754277564765,3.2038015527202646e-06,0.004618822730592109,-0.0006641980854036333
2011-04-25,-0.003204906387484052,0.0,0.0,0.0
2011-04-26,0.008574142098118687,0.007876794377080554,0.00498712083527364,0.008490786320822563
2011-04-27,0.01381544977552962,0.00018103385449363962,0.002156773597023376,-0.00019766485164152137
2011-04-28,-0.0015725795222714112,0.00174629228768719,0.009995829392601907,0.00028010068497130725
2011-04-29,0.003149841176754542,0.0,0.0,0.0
2011-05-02,-0.0010469812762049502,0.0,0.0,0.0
2011-05-03,-0.01833387493398675,0.0018446950759045677,7.486445144833098e-05,0.0021417157134635545
2011-05-04,-0.005335962666948468,-0.015059270824499094,-0.00879749950317621,-0.01624222102511208
2011-05-05,-0.02360511228152362,-0.009902859752670023,-0.005323611032070907,-0.01071173553419602
2011-05-06,0.0016481421292255938,0.008827467258565092,0.005191757260945673,0.00959456160261829
2011-05-09,0.006034095835238951,-0.004981297073324065,-0.0009322582769599741,-0.005705329020432637
2011-05-10,0.012540618597274067,0.012795183561541412,0.013374180711476003,0.01282240471955065
2011-05-11,-0.011847143248905456,-0.006551307682802987,-0.003094084219522397,-0.0071275321138078995
2011-05-12,-0.002724732624506121,-0.005004443732729236,-0.0042270928863438195,-0.005187416331994599
2011-05-13,-0.011474992892172908,-0.0022921137478589815,0.002682403170802816,-0.0032128002785954957
2011-05-16,-0.003869716831403913,-0.000996621314709123,-0.004633690998773421,-0.0003712021916502106
2011-05-17,0.0027745340243725547,-0.01033863734381224,-0.009008976597854157,-0.010584633463070148
2011-05-18,0.00664085844940665,0.00969716533457543,0.0043511321392362134,0.010663709264630672
2011-05-19,0.006597143223218804,0.005782567607840461,0.008328075709779226,0.005486621085506904
2011-05-20,-0.004369207965876143,-0.0009732611258026491,0.00047555127122178575,-0.0012592343854935795
2011-05-23,-0.025781718937086917,-0.018487294759423456,-0.01638565040607043,-0.018929158217407704
2011-05-24,0.004504613015130943,0.004108247507469187,0.005349373782836064,0.0038554465252160774
2011-05-25,0.01177125638104104,0.0012307080067142095,-0.0028333060620282513,0.0019971656949910876
2011-05-26,0.012188156712135578,0.0018764761356866444,0.0013361130827842516,0.0018568511886367656
2011-05-27,0.00985285677892378,0.009776029294390254,0.00994846758614143,0.009845247805432722
2011-05-31,0.011381692835013668,0.008547075301738039,0.008529284013937488,0.008604303574148986
2011-06-01,-0.027331418456389978,-0.009141105028722452,-0.004228575287368419,-0.010250401059056724
2011-06-02,0.001652873238309427,-0.012145375037775241,-0.0038968013995731576,-0.013612015312755354
2011-06-03,0.0022004157532269364,0.0011784357603867868,0.0008108497293739525,0.0012141277680564055
2011-06-06,-0.008232802974383224,0.0013600795150425782,0.0020212813248239314,0.0014005457408197142
